policyID,statecode,county,Insu_Amount,Claimed,Allignment,Policy Join Date,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
119736,FL,CLAY COUNTY,10000000,2876,Type-1,7/23/2020,30.102261,-81.711777,Residential,Masonry,1,
448094,FL,CLAY COUNTY,90000000,1297,Type-2,7/19/2014,30.063936,-81.707664,Residential,Masonry,3,
206893,FL,CLAY COUNTY,80000000,7012,Type-3,1/18/2013,30.089579,-81.700455,Residential,Wood,1,
333743,FL,CLAY COUNTY,80000000,2733,Type-4,3/28/2018,30.063236,-81.707703,Residential,Wood,3,
172534,FL,CLAY COUNTY,80000000,6927,Type-5,2/19/2018,30.060614,-81.702675,Residential,Wood,1,
785275,FL,CLAY COUNTY,80000000,5087,Type-6,3/28/2015,30.063236,-81.707703,Residential,Masonry,3,
995932,FL,CLAY COUNTY,90000000,4576,Type-7,12/27/2015,30.102226,-81.713882,Commercial,Reinforced Concrete,1,
223488,FL,CLAY COUNTY,90000000,10000,Type-8,4/21/2015,30.102217,-81.707146,Residential,Wood,1,
433512,FL,CLAY COUNTY,90000000,5366,Type-9,10/13/2019,30.118774,-81.704613,Residential,Wood,1,
142071,FL,CLAY COUNTY,90000000,6733,Type-10,4/9/2012,30.100628,-81.703751,Residential,Masonry,1,
253816,FL,CLAY COUNTY,90000000,4001,Type-1,4/14/2013,30.10216,-81.719444,Residential,Masonry,1,
894922,FL,CLAY COUNTY,10000000,5462,Type-2,12/4/2013,30.095957,-81.695099,Residential,Wood,1,
422834,FL,CLAY COUNTY,10000000,4026,Type-3,1/17/2019,30.100073,-81.739822,Residential,Wood,1,
582721,FL,CLAY COUNTY,10000000,3090,Type-4,2/9/2011,30.09248,-81.725167,Residential,Wood,1,
842700,FL,CLAY COUNTY,10000000,3060,Type-5,1/25/2015,30.101356,-81.726248,Residential,Wood,1,
874333,FL,CLAY COUNTY,10000000,1713,Type-6,2/22/2012,30.113743,-81.727463,Residential,Wood,1,
580146,FL,CLAY COUNTY,10000000,1400,Type-7,7/23/2017,30.121655,-81.732391,Residential,Wood,3,
456149,FL,CLAY COUNTY,10000000,9447,Type-8,8/15/2019,30.109537,-81.741661,Residential,Wood,1,
767862,FL,CLAY COUNTY,10000000,6596,Type-9,12/5/2013,30.11824,-81.745335,Residential,Wood,3,
353022,FL,CLAY COUNTY,10000000,5154,Type-10,3/6/2012,30.065799,-81.717416,Residential,Wood,1,
367814,FL,CLAY COUNTY,10000000,6483,Type-9,8/3/2017,30.082993,-81.710581,Residential,Wood,1,
671392,FL,CLAY COUNTY,90000000,9243,Type-10,8/20/2018,30.091921,-81.711929,Commercial,Reinforced Concrete,3,
772887,FL,CLAY COUNTY,80000000,1138,Type-9,6/6/2015,30.117352,-81.711884,Residential,Masonry,1,
983122,FL,CLAY COUNTY,80000000,2803,Type-10,5/25/2013,30.095783,-81.713181,Residential,Wood,3,
934215,FL,CLAY COUNTY,80000000,8419,Type-9,9/13/2019,30.110518,-81.727478,Residential,Wood,1,
